noise,ruleLabel,rule,trial,primaryClass,tags,steps,gridSize,initialDensity,wrap,finalLive,finalDensity,finalActivity,avgLastDensity,avgLastActivity,finalBoundingBoxArea,avgLastArea,densityTrend,areaTrend,repeatPeriod,centerShift
0.000,"Sample 34","B1367/S026",1,"Disordered","",500,500,0.240,true,93933,0.375732,0.542756,0.376921,0.544016,250000,1.000000,-0.000541,0.000000,0,0.000045
0.000,"Sample 35","B1478/S1247",1,"Disordered","",500,500,0.240,true,103340,0.413360,0.389908,0.413518,0.389139,250000,1.000000,0.000008,0.000000,0,0.000048
0.000,"Sample 36","B123457/S01468",1,"Disordered","",500,500,0.240,true,149393,0.597572,0.637396,0.597712,0.637994,250000,1.000000,-0.001478,0.000000,0,0.000048
0.000,"Sample 37","B25/S012678",1,"Disordered","",500,500,0.240,true,91339,0.365356,0.428284,0.363998,0.427926,250000,1.000000,-0.000241,0.000000,0,0.000103
0.000,"Sample 38","B267/S026",1,"Structured Dynamic","",500,500,0.240,true,75827,0.303308,0.405344,0.304358,0.406465,250000,1.000000,-0.000350,0.000000,0,0.000218
0.000,"Sample 39","B01236/S1347",1,"Disordered","",500,500,0.240,true,130068,0.520272,0.501580,0.516679,0.503318,250000,1.000000,-0.002610,0.000000,0,0.000095
0.000,"Sample 40","B034568/S012368",1,"Disordered","",500,500,0.240,true,149876,0.599504,0.690820,0.599755,0.689759,250000,1.000000,0.000614,0.000000,0,0.000084
0.000,"Sample 41","B1378/S0357",1,"Disordered","",500,500,0.240,true,99461,0.397844,0.459400,0.397016,0.457438,250000,1.000000,-0.000321,0.000000,0,0.000076
0.000,"Sample 42","B047/S37",1,"Structured Dynamic","",500,500,0.240,true,66460,0.265840,0.415084,0.263750,0.413494,250000,1.000000,0.000097,0.000000,0,0.000121
0.000,"Sample 43","B01257/S02368",1,"Disordered","",500,500,0.240,true,114023,0.456092,0.455616,0.457391,0.455033,250000,1.000000,-0.002609,0.000000,0,0.000077
0.000,"Sample 44","B04567/S1238",1,"Disordered","",500,500,0.240,true,103701,0.414804,0.437472,0.416130,0.444553,250000,1.000000,0.000436,0.000000,0,0.000106
0.000,"Sample 45","B0134/S124678",1,"Disordered","",500,500,0.240,true,136469,0.545876,0.440844,0.544899,0.440971,250000,1.000000,-0.001673,0.000000,0,0.000089
0.000,"Sample 46","B03468/S3578",1,"Disordered","",500,500,0.240,true,135022,0.540088,0.552692,0.540484,0.552597,250000,1.000000,0.002985,0.000000,0,0.000206
0.000,"Sample 47","B015678/S0123567",1,"Expanding","",500,500,0.240,true,165648,0.662592,0.345808,0.663167,0.346770,250000,1.000000,0.003300,0.000000,0,0.000223
0.000,"Sample 48","B034678/S0137",1,"Disordered","",500,500,0.240,true,117361,0.469444,0.649764,0.468809,0.651507,250000,1.000000,0.000220,0.000000,0,0.000161
0.000,"Sample 49","B2/S014678",1,"Structured Dynamic","",500,500,0.240,true,79899,0.319596,0.375648,0.317626,0.373596,250000,1.000000,-0.000026,0.000000,0,0.000268
0.000,"Sample 50","B023678/S123578",1,"Disordered","",500,500,0.240,true,135440,0.541760,0.437616,0.541329,0.437652,250000,1.000000,-0.001712,0.000000,0,0.000096
