label,rule,class100,class500,oldDistribution,newDistribution,changed
"Sample 81","B17/S2348","Periodic","Disordered","Periodic: 80% / Disordered: 20%","Disordered: 100%",true
"Sample 82","B012/S02457","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 83","B0123468/S145","Periodic","Periodic","Periodic: 100%","Periodic: 100%",false
"Sample 84","B012357/S023467","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 85","B01248/S0358","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 86","B568/S016","Frozen","Frozen","Frozen: 100%","Frozen: 100%",false
"Sample 87","B012456/S0137","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 88","B016/S128","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 89","B012348/S2346","Periodic","Periodic","Periodic: 100%","Periodic: 100%",false
"Sample 90","B345678/S012368","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 91","B013578/S147","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 92","B127/S14568","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 93","B13568/S015678","Frozen","Periodic","Frozen: 80% / Periodic: 20%","Periodic: 100%",true
"Sample 94","B0235/S0123","Periodic","Periodic","Periodic: 100%","Periodic: 100%",false
"Sample 95","B568/S0135","Frozen","Frozen","Frozen: 100%","Frozen: 100%",false
"Sample 96","B01567/S17","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
"Sample 97","B01357/S0148","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
"Sample 98","B1258/S03678","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
