noise,label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
0.000,"Sample 31","B0167/S012","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.332184,0.473156,1.000000,-0.002095,0.000000,0.000189,0.000
0.000,"Sample 32","B123567/S012357","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.620356,0.579887,1.000000,-0.000759,0.000000,0.000076,0.000
0.000,"Sample 33","B03/S3456","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.633580,0.003651,1.000000,0.010832,0.000000,0.000092,0.000
0.000,"Sample 34","B1367/S026","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.375732,0.544016,1.000000,-0.000541,0.000000,0.000045,0.000
0.000,"Sample 35","B1478/S1247","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.413360,0.389139,1.000000,0.000008,0.000000,0.000048,0.000
0.000,"Sample 36","B123457/S01468","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.597572,0.637994,1.000000,-0.001478,0.000000,0.000048,0.000
0.000,"Sample 37","B25/S012678","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.365356,0.427926,1.000000,-0.000241,0.000000,0.000103,0.000
0.000,"Sample 38","B267/S026","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.303308,0.406465,1.000000,-0.000350,0.000000,0.000218,0.000
0.000,"Sample 39","B01236/S1347","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.520272,0.503318,1.000000,-0.002610,0.000000,0.000095,0.000
0.000,"Sample 40","B034568/S012368","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.599504,0.689759,1.000000,0.000614,0.000000,0.000084,0.000
0.000,"Sample 41","B1378/S0357","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.397844,0.457438,1.000000,-0.000321,0.000000,0.000076,0.000
0.000,"Sample 42","B047/S37","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.265840,0.413494,1.000000,0.000097,0.000000,0.000121,0.000
0.000,"Sample 43","B01257/S02368","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.456092,0.455033,1.000000,-0.002609,0.000000,0.000077,0.000
0.000,"Sample 44","B04567/S1238","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.414804,0.444553,1.000000,0.000436,0.000000,0.000106,0.000
0.000,"Sample 45","B0134/S124678","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.545876,0.440971,1.000000,-0.001673,0.000000,0.000089,0.000
0.000,"Sample 46","B03468/S3578","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.540088,0.552597,1.000000,0.002985,0.000000,0.000206,0.000
0.000,"Sample 47","B015678/S0123567","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.662592,0.346770,1.000000,0.003300,0.000000,0.000223,0.000
0.000,"Sample 48","B034678/S0137","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.469444,0.651507,1.000000,0.000220,0.000000,0.000161,0.000
0.000,"Sample 49","B2/S014678","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.319596,0.373596,1.000000,-0.000026,0.000000,0.000268,0.000
0.000,"Sample 50","B023678/S123578","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.541760,0.437652,1.000000,-0.001712,0.000000,0.000096,0.000
