noise,label,rule,baselineClass,noiseClass,baselineDistribution,noiseDistribution,changed
0.005,"Sample 26","B24/S3456","Periodic","Disordered","Periodic: 100%","Disordered: 100%",true
0.005,"Sample 27","B01457/S0236","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 28","B134568/S12568","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.005,"Sample 29","B0568/S134","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.005,"Sample 30","B6/S013678","Frozen","Bounded Dynamic","Frozen: 100%","Bounded Dynamic: 100%",true
0.005,"Sample 31","B0167/S012","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 32","B123567/S012357","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 33","B03/S3456","Periodic","Disordered","Periodic: 100%","Disordered: 100%",true
0.005,"Sample 34","B1367/S026","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 35","B1478/S1247","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 36","B123457/S01468","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 37","B25/S012678","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 38","B267/S026","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.005,"Sample 39","B01236/S1347","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 40","B034568/S012368","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 41","B1378/S0357","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 42","B047/S37","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.005,"Sample 43","B01257/S02368","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 44","B04567/S1238","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 45","B0134/S124678","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 46","B03468/S3578","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 47","B015678/S0123567","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.005,"Sample 48","B034678/S0137","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
