label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
"Sample 31","B0167/S012","Disordered","Periodic: 20% / Disordered: 80%","0.000","0.000","0.200","0.000","0.800","0.000","0.000","0.332670","0.483948","1.000000","-0.002044","0.000000","0.001522","0.000"
"Sample 32","B123567/S012357","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.621410","0.579673","1.000000","-0.000483","0.000000","0.000287","0.000"
"Sample 33","B03/S3456","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.632340","0.003590","1.000000","0.010622","0.000000","0.000262","0.000"
"Sample 34","B1367/S026","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.375700","0.543969","1.000000","-0.000674","0.000000","0.000522","0.000"
"Sample 35","B1478/S1247","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.411240","0.388903","1.000000","-0.000517","0.000000","0.000619","0.000"
"Sample 36","B123457/S01468","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.595080","0.638310","1.000000","-0.001676","0.000000","0.000273","0.000"
"Sample 37","B25/S012678","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.363450","0.427757","1.000000","-0.000481","0.000000","0.000608","0.000"
"Sample 38","B267/S026","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.304030","0.406568","1.000000","-0.000146","0.000000","0.000877","0.000"
"Sample 39","B01236/S1347","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.518410","0.502530","1.000000","-0.002349","0.000000","0.000349","0.000"
"Sample 40","B034568/S012368","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.601970","0.689754","1.000000","0.000666","0.000000","0.000209","0.000"
"Sample 41","B1378/S0357","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.401080","0.457182","1.000000","-0.000119","0.000000","0.000512","0.000"
"Sample 42","B047/S37","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.266470","0.413716","1.000000","0.000250","0.000000","0.000631","0.000"
"Sample 43","B01257/S02368","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.454820","0.455265","1.000000","-0.002801","0.000000","0.000327","0.000"
"Sample 44","B04567/S1238","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.416670","0.444075","1.000000","0.000734","0.000000","0.000949","0.000"
"Sample 45","B0134/S124678","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.547490","0.441020","1.000000","-0.001616","0.000000","0.000345","0.000"
"Sample 46","B03468/S3578","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.542080","0.552660","1.000000","0.003428","0.000000","0.000517","0.000"
"Sample 47","B015678/S0123567","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.662660","0.346873","1.000000","0.003428","0.000000","0.001307","0.000"
"Sample 48","B034678/S0137","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.470770","0.651026","1.000000","0.000191","0.000000","0.000455","0.000"
"Sample 49","B2/S014678","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.317010","0.373539","1.000000","-0.000517","0.000000","0.000678","0.000"
"Sample 50","B023678/S123578","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.538850","0.437739","1.000000","-0.001298","0.000000","0.000370","0.000"
"Sample 51","B12/S023478","Disordered","Periodic: 30% / Disordered: 70%","0.000","0.000","0.300","0.000","0.700","0.000","0.000","0.478150","0.023951","1.000000","0.003308","0.000000","0.000253","0.000"
"Sample 52","B12578/S023567","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.640200","0.313675","1.000000","0.000077","0.000000","0.000767","0.000"
"Sample 53","B0147/S03578","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.390320","0.444183","1.000000","-0.001102","0.000000","0.000660","0.000"
"Sample 54","B12467/S024567","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.766290","0.175063","1.000000","0.011612","0.000000","0.001276","0.000"
"Sample 55","B123457/S23467","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.686630","0.439611","1.000000","-0.000792","0.000000","0.000265","0.000"
"Sample 56","B13568/S1468","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.499150","0.584938","1.000000","0.000358","0.000000","0.000730","0.000"
"Sample 57","B01368/S13568","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.476190","0.403909","1.000000","-0.001465","0.000000","0.000768","0.000"
"Sample 58","B148/S0368","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.328660","0.444157","1.000000","-0.000156","0.000000","0.000624","0.000"
"Sample 59","B01236/S012578","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.524060","0.527296","1.000000","-0.009033","0.000000","0.000620","0.000"
"Sample 60","B348/S023468","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.552580","0.341698","1.000000","0.003908","0.000000","0.000540","0.000"
